mean: 73.37
best: 91
worst: 41
gt 90: 2 (6.89%)
lt 50: 2 (6.89%)
total sites: 29 
unreacable: Konya Büyükşehir Belediyesi
Best: 91.0 Gaziantep Büyükşehir Belediyesi
Worst: 41.0 Muğla Büyükşehir Belediyesi

1 Gaziantep Büyükşehir Belediyesi 91.0
2 Aydın Büyükşehir Belediyesi 90.0
3 Hatay Büyükşehir Belediyesi 86.0
4 Erzurum Büyükşehir Belediyesi 82.0
5 İstanbul Büyükşehir Belediyesi 82.0
6 Kocaeli Büyükşehir Belediyesi 81.0
7 Eskişehir Büyükşehir Belediyesi 80.0
8 İzmir Büyükşehir Belediyesi 80.0
9 Antalya Büyükşehir Belediyesi 78.0
10 Mardin Büyükşehir Belediyesi 78.0
11 Denizli Büyükşehir Belediyesi 77.0
12 Mersin Büyükşehir Belediyesi 77.0
13 Trabzon Büyükşehir Belediyesi 77.0
14 Ankara Büyükşehir Belediyesi 76.0
15 Malatya Büyükşehir Belediyesi 75.0
16 Bursa Büyükşehir Belediyesi 74.0
17 Ordu Büyükşehir Belediyesi 74.0
18 Balıkesir Büyükşehir Belediyesi 73.0
19 Diyarbakır Büyükşehir Belediyesi 73.0
20 Kayseri Büyükşehir Belediyesi 73.0
21 Van Büyükşehir Belediyesi 73.0
22 Sakarya Büyükşehir Belediyesi 72.0
23 Adana Büyükşehir Belediyesi 69.0
24 Kahramanmaraş Büyükşehir Belediyesi 69.0
25 Manisa Büyükşehir Belediyesi 61.0
26 Samsun Büyükşehir Belediyesi 56.99999999999999
27 Şanlıurfa Büyükşehir Belediyesi 55.00000000000001
28 Tekirdağ Büyükşehir Belediyesi 54.0
29 Muğla Büyükşehir Belediyesi 41.0
