mean: 76.62
best: 100
worst: 50
gt 90: 3 (10.34%)
lt 50: 1 (3.44%)
total sites: 29 
unreacable: Konya Büyükşehir Belediyesi
Best: 100 İstanbul Büyükşehir Belediyesi
Worst: 50.0 Ordu Büyükşehir Belediyesi

1 İstanbul Büyükşehir Belediyesi 100
2 Gaziantep Büyükşehir Belediyesi 92.0
3 Van Büyükşehir Belediyesi 92.0
4 Adana Büyükşehir Belediyesi 83.0
5 Ankara Büyükşehir Belediyesi 83.0
6 Denizli Büyükşehir Belediyesi 83.0
7 Hatay Büyükşehir Belediyesi 83.0
8 Mersin Büyükşehir Belediyesi 83.0
9 Manisa Büyükşehir Belediyesi 83.0
10 Kahramanmaraş Büyükşehir Belediyesi 83.0
11 Sakarya Büyükşehir Belediyesi 83.0
12 Samsun Büyükşehir Belediyesi 83.0
13 Tekirdağ Büyükşehir Belediyesi 83.0
14 Şanlıurfa Büyükşehir Belediyesi 83.0
15 Antalya Büyükşehir Belediyesi 75.0
16 Balıkesir Büyükşehir Belediyesi 75.0
17 Erzurum Büyükşehir Belediyesi 75.0
18 Kayseri Büyükşehir Belediyesi 75.0
19 Kocaeli Büyükşehir Belediyesi 75.0
20 Malatya Büyükşehir Belediyesi 75.0
21 Mardin Büyükşehir Belediyesi 75.0
22 Trabzon Büyükşehir Belediyesi 75.0
23 Bursa Büyükşehir Belediyesi 67.0
24 Diyarbakır Büyükşehir Belediyesi 67.0
25 İzmir Büyükşehir Belediyesi 67.0
26 Aydın Büyükşehir Belediyesi 57.99999999999999
27 Eskişehir Büyükşehir Belediyesi 57.99999999999999
28 Muğla Büyükşehir Belediyesi 57.99999999999999
29 Ordu Büyükşehir Belediyesi 50.0
