mean: 79.14
best: 100
worst: 64
gt 90: 4 (14.81%)
lt 50: 0 (0%)
total sites: 27 
unreacable: 
Konya Büyükşehir Belediyesi
Manisa Büyükşehir Belediyesi
Van Büyükşehir Belediyesi

Best: 100 Malatya Büyükşehir Belediyesi
Worst: 64 Adana Büyükşehir Belediyesi

1 Malatya Büyükşehir Belediyesi 100
2 Ankara Büyükşehir Belediyesi 92.0
3 Kocaeli Büyükşehir Belediyesi 92.0
4 Gaziantep Büyükşehir Belediyesi 91.0
5 Balıkesir Büyükşehir Belediyesi 82.0
6 Diyarbakır Büyükşehir Belediyesi 82.0
7 Erzurum Büyükşehir Belediyesi 82.0
8 Mersin Büyükşehir Belediyesi 82.0
9 İstanbul Büyükşehir Belediyesi 82.0
10 Kayseri Büyükşehir Belediyesi 82.0
11 Sakarya Büyükşehir Belediyesi 82.0
12 Samsun Büyükşehir Belediyesi 82.0
13 Hatay Büyükşehir Belediyesi 80.0
14 Mardin Büyükşehir Belediyesi 80.0
15 Tekirdağ Büyükşehir Belediyesi 80.0
16 Trabzon Büyükşehir Belediyesi 80.0
17 Şanlıurfa Büyükşehir Belediyesi 80.0
18 İzmir Büyükşehir Belediyesi 73.0
19 Kahramanmaraş Büyükşehir Belediyesi 73.0
20 Muğla Büyükşehir Belediyesi 73.0
21 Ordu Büyükşehir Belediyesi 73.0
22 Antalya Büyükşehir Belediyesi 70.0
23 Aydın Büyükşehir Belediyesi 70.0
24 Bursa Büyükşehir Belediyesi 70.0
25 Denizli Büyükşehir Belediyesi 70.0
26 Eskişehir Büyükşehir Belediyesi 70.0
27 Adana Büyükşehir Belediyesi 64.0
