mean: 73.44
best: 91
worst: 41
gt 90: 2 (6.89%)
lt 50: 2 (6.89%)
total sites: 29 
unreacable: Konya Büyükşehir Belediyesi
Best: 91.0 Gaziantep Büyükşehir Belediyesi
Worst: 41.0 Muğla Büyükşehir Belediyesi

1 Gaziantep Büyükşehir Belediyesi 91.0
2 İzmir Büyükşehir Belediyesi 90.0
3 Hatay Büyükşehir Belediyesi 88.0
4 Kocaeli Büyükşehir Belediyesi 83.0
5 Erzurum Büyükşehir Belediyesi 82.0
6 Aydın Büyükşehir Belediyesi 81.0
7 Kayseri Büyükşehir Belediyesi 80.0
8 Malatya Büyükşehir Belediyesi 80.0
9 Ankara Büyükşehir Belediyesi 79.0
10 Balıkesir Büyükşehir Belediyesi 79.0
11 Eskişehir Büyükşehir Belediyesi 78.0
12 Mardin Büyükşehir Belediyesi 78.0
13 Denizli Büyükşehir Belediyesi 76.0
14 Van Büyükşehir Belediyesi 76.0
15 Adana Büyükşehir Belediyesi 75.0
16 İstanbul Büyükşehir Belediyesi 75.0
17 Manisa Büyükşehir Belediyesi 74.0
18 Trabzon Büyükşehir Belediyesi 74.0
19 Diyarbakır Büyükşehir Belediyesi 73.0
20 Bursa Büyükşehir Belediyesi 72.0
21 Sakarya Büyükşehir Belediyesi 72.0
22 Antalya Büyükşehir Belediyesi 71.0
23 Ordu Büyükşehir Belediyesi 71.0
24 Mersin Büyükşehir Belediyesi 70.0
25 Kahramanmaraş Büyükşehir Belediyesi 65.0
26 Samsun Büyükşehir Belediyesi 56.99999999999999
27 Tekirdağ Büyükşehir Belediyesi 54.0
28 Şanlıurfa Büyükşehir Belediyesi 45.0
29 Muğla Büyükşehir Belediyesi 41.0
