mean: 71.51
best: 92
worst: 42
gt 90: 1 (3.44%)
lt 50: 4 (13.79%)
total sites: 29 
unreacable: Konya Büyükşehir Belediyesi
Best: 92 İstanbul Büyükşehir Belediyesi
Worst: 42 Ordu Büyükşehir Belediyesi

1 İstanbul Büyükşehir Belediyesi 92.0
2 Ankara Büyükşehir Belediyesi 83.0
3 Denizli Büyükşehir Belediyesi 83.0
4 Gaziantep Büyükşehir Belediyesi 83.0
5 Hatay Büyükşehir Belediyesi 83.0
6 Kahramanmaraş Büyükşehir Belediyesi 83.0
7 Sakarya Büyükşehir Belediyesi 83.0
8 Samsun Büyükşehir Belediyesi 83.0
9 Tekirdağ Büyükşehir Belediyesi 83.0
10 Şanlıurfa Büyükşehir Belediyesi 83.0
11 Van Büyükşehir Belediyesi 83.0
12 Adana Büyükşehir Belediyesi 75.0
13 Kocaeli Büyükşehir Belediyesi 75.0
14 Malatya Büyükşehir Belediyesi 75.0
15 Manisa Büyükşehir Belediyesi 75.0
16 Trabzon Büyükşehir Belediyesi 75.0
17 Antalya Büyükşehir Belediyesi 67.0
18 Bursa Büyükşehir Belediyesi 67.0
19 Erzurum Büyükşehir Belediyesi 67.0
20 Mersin Büyükşehir Belediyesi 67.0
21 İzmir Büyükşehir Belediyesi 67.0
22 Kayseri Büyükşehir Belediyesi 67.0
23 Mardin Büyükşehir Belediyesi 67.0
24 Balıkesir Büyükşehir Belediyesi 57.99999999999999
25 Diyarbakır Büyükşehir Belediyesi 57.99999999999999
26 Aydın Büyükşehir Belediyesi 50.0
27 Eskişehir Büyükşehir Belediyesi 50.0
28 Muğla Büyükşehir Belediyesi 50.0
29 Ordu Büyükşehir Belediyesi 42.0
