mean: 34.44
best: 72
worst: 7
gt 90: 0 (0%)
lt 50: 24 (82.75%)
total sites: 29 

unreacable: Konya Büyükşehir Belediyesi
Best: 72 Sakarya Büyükşehir Belediyesi
Worst: 7 Malatya Büyükşehir Belediyesi

1 Sakarya Büyükşehir Belediyesi 72.0
2 Van Büyükşehir Belediyesi 56.99999999999999
3 Adana Büyükşehir Belediyesi 55.00000000000001
4 İzmir Büyükşehir Belediyesi 54.0
5 Erzurum Büyükşehir Belediyesi 51.0
6 Mersin Büyükşehir Belediyesi 50.0
7 Eskişehir Büyükşehir Belediyesi 47.0
8 Denizli Büyükşehir Belediyesi 44.0
9 İstanbul Büyükşehir Belediyesi 42.0
10 Mardin Büyükşehir Belediyesi 42.0
11 Samsun Büyükşehir Belediyesi 41.0
12 Diyarbakır Büyükşehir Belediyesi 40.0
13 Gaziantep Büyükşehir Belediyesi 39.0
14 Kayseri Büyükşehir Belediyesi 38.0
15 Ankara Büyükşehir Belediyesi 36.0
16 Aydın Büyükşehir Belediyesi 36.0
17 Tekirdağ Büyükşehir Belediyesi 33.0
18 Kahramanmaraş Büyükşehir Belediyesi 32.0
19 Antalya Büyükşehir Belediyesi 28.999999999999996
20 Hatay Büyükşehir Belediyesi 28.999999999999996
21 Manisa Büyükşehir Belediyesi 25.0
22 Ordu Büyükşehir Belediyesi 25.0
23 Trabzon Büyükşehir Belediyesi 22.0
24 Balıkesir Büyükşehir Belediyesi 16.0
25 Kocaeli Büyükşehir Belediyesi 11.0
26 Şanlıurfa Büyükşehir Belediyesi 10.0
27 Bursa Büyükşehir Belediyesi 8.0
28 Muğla Büyükşehir Belediyesi 8.0
29 Malatya Büyükşehir Belediyesi 7.000000000000001
